mode,dishType,trialIndex,scoopIndex,insertionDepthError,timePerScoopSec,forcePeak,spoonTipToFoodVertical,spoonTipToFood3D,adaptiveAttemptCount,dishCenterErrorM,dishRadiusErrorM,dishDepthEstimateM,estimatedDishGeometryConfidence,foodDepthM,biteSegmentationScore,stageScanSec,stageIkSec,stageCarrySec,carryUprightErrorDeg,systemTimeSec
Adaptive,plate,0,0,0.0319,7.3,0,0.0319,0.02,1,0.0208,0.0928,0.005,0.9,0.0227,1,1.262,2.918,2.7,109.655,14.182
Adaptive,plate,0,1,0.0319,6.5,0,0.0319,0.0201,1,0.0208,0.0928,0.005,0.9,0.0227,0.7455,1.262,2.118,2.7,109.651,20.682
Adaptive,plate,0,2,0.0319,6.5,0,0.0319,0.0169,1,0.0208,0.0928,0.005,0.9,0.0227,0.0182,1.262,2.118,2.7,109.656,27.182
Adaptive,plate,1,0,0.032,7.3,0,0.032,0.0204,1,0.0182,0.0928,0.005,0.9,0.0228,0.0234,1.262,2.918,2.7,109.649,12.8
Adaptive,plate,1,1,0.032,6.5,0,0.032,0.0179,1,0.0182,0.0928,0.005,0.9,0.0228,0.7602,1.262,2.118,2.7,109.648,19.3
Adaptive,plate,1,2,0.0321,6.5,0,0.0321,0.0166,1,0.0182,0.0928,0.005,0.9,0.0228,0.1871,1.262,2.118,2.7,109.649,25.8
Adaptive,plate,2,0,0.0315,7.3,0,0.0315,0.0199,1,0.0185,0.0928,0.005,0.9,0.0221,0.0148,1.262,2.918,2.7,109.665,12.8
Adaptive,plate,2,1,0.0315,6.5,0,0.0315,0.0205,1,0.0185,0.0928,0.005,0.9,0.0221,0.3481,1.262,2.118,2.7,109.651,19.3
Adaptive,plate,2,2,0.0315,6.5,0,0.0315,0.0144,1,0.0185,0.0928,0.005,0.9,0.0221,0.3704,1.262,2.118,2.7,109.649,25.8
#SESSION_TRIAL_SUMMARY,,,,,,,,,,,,,,,,,,,,
#rowType,mode,dishType,trialIndex,totalScoops,meanTimePerScoopSec,fullTrialTimeSec,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,plate,0,3,6.767,27.182,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,plate,1,3,6.767,25.8,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,plate,2,3,6.767,25.8,,,,,,,,,,,,,,
#SESSION_SUMMARY,,,,,,,,,,,,,,,,,,,,
#rowType,mode,dishType,totalTrials,totalScoops,meanFullTrialTimeSec,meanTimePerScoopSec,meanInsertionDepthError,meanForcePeak,meanDishCenterErrorM,meanDishRadiusErrorM,meanDishDepthEstimateM,meanGivenDishRadiusM,meanGivenDishDepthM,meanCarryUprightErrorDeg,,,,,,
SESSION_SUMMARY,Adaptive,plate,3,9,26.261,6.767,0.0318,0,0.0192,0.0928,0.005,0,0,109.653,,,,,,
#SESSION_COMPARISON,,,,,,,,,,,,,,,,,,,,
#rowType,dishType,deltaMeanInsertionDepthError_AdaptiveMinusBaseline,deltaMeanTimePerScoopSec_AdaptiveMinusBaseline,deltaMeanCarryUprightErrorDeg_AdaptiveMinusBaseline,,,,,,,,,,,,,,,,
Adaptive,bowl,0,0,0.0394,20.4,2.936,0.0394,0.0504,1,0.0506,0.063,0.0755,0.9,0.151,0.205,1.274,5.406,14.2,109.621,27.234
Adaptive,bowl,0,1,0.0463,7.8,2.921,-0.0463,0,1,0.0506,0.063,0.0755,0.9,0.151,0.2,1.274,4.506,2.7,109.687,35.034
Adaptive,bowl,0,2,0.0464,7.8,2.921,-0.0464,0,1,0.0506,0.063,0.0755,0.9,0.151,0.015,1.274,4.506,2.7,109.684,42.834
Adaptive,bowl,1,0,0.0394,20.4,3.072,0.0394,0.0504,1,0.0535,0.063,0.0756,0.9,0.1512,0.6974,1.274,5.406,14.2,109.713,33.8
Adaptive,bowl,1,1,0.0464,7.8,2.921,-0.0464,0.1617,1,0.0535,0.063,0.0756,0.9,0.1512,1,1.274,4.506,2.7,109.697,41.6
Adaptive,bowl,1,2,0.0465,7.8,2.921,-0.0465,0.1724,1,0.0535,0.063,0.0756,0.9,0.1512,0.6103,1.274,4.506,2.7,109.71,49.4
Adaptive,bowl,2,0,0.0394,20.4,2.898,0.0394,0.0504,1,0.0512,0.063,0.0756,0.9,0.1511,1,1.274,5.406,14.2,109.664,33.8
Adaptive,bowl,2,1,0.0463,7.8,2.921,-0.0463,0.1711,1,0.0512,0.063,0.0756,0.9,0.1511,0.8,1.274,4.506,2.7,109.681,41.6
Adaptive,bowl,2,2,0.0462,7.8,2.921,-0.0462,0.1418,1,0.0512,0.063,0.0756,0.9,0.1511,0.6923,1.274,4.506,2.7,109.664,49.4
#SESSION_TRIAL_SUMMARY,,,,,,,,,,,,,,,,,,,,
#rowType,mode,dishType,trialIndex,totalScoops,meanTimePerScoopSec,fullTrialTimeSec,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,bowl,0,3,12,42.834,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,bowl,1,3,12,49.4,,,,,,,,,,,,,,
SESSION_TRIAL_SUMMARY,Adaptive,bowl,2,3,12,49.4,,,,,,,,,,,,,,
#SESSION_SUMMARY,,,,,,,,,,,,,,,,,,,,
#rowType,mode,dishType,totalTrials,totalScoops,meanFullTrialTimeSec,meanTimePerScoopSec,meanInsertionDepthError,meanForcePeak,meanDishCenterErrorM,meanDishRadiusErrorM,meanDishDepthEstimateM,meanGivenDishRadiusM,meanGivenDishDepthM,meanCarryUprightErrorDeg,,,,,,
SESSION_SUMMARY,Adaptive,bowl,3,9,47.211,12,0.044,2.937,0.0517,0.063,0.0756,0,0,109.68,,,,,,
#SESSION_COMPARISON,,,,,,,,,,,,,,,,,,,,
#rowType,dishType,deltaMeanInsertionDepthError_AdaptiveMinusBaseline,deltaMeanTimePerScoopSec_AdaptiveMinusBaseline,deltaMeanCarryUprightErrorDeg_AdaptiveMinusBaseline,,,,,,,,,,,,,,,,
